Created as New Dataset,
nm,%T
302.0,32.66
301.0,28.20
300.0,23.86
299.0,18.64
298.0,14.68
297.0,11.18
296.0,7.20
295.0,4.37
294.0,2.77
293.0,2.88
292.0,2.03
291.0,2.42
290.0,1.53
289.0,2.04
288.0,1.77
287.0,2.87
286.0,3.22
285.0,2.61
284.0,3.86
283.0,3.11
282.0,3.03
281.0,3.74
280.0,3.98
279.0,3.98
278.0,3.52
277.0,4.01
276.0,4.20
275.0,3.52
274.0,3.51
273.0,4.14
272.0,3.27
271.0,2.75
270.0,3.97
269.0,3.62
268.0,3.56
267.0,3.43
266.0,3.76
265.0,3.03
264.0,2.99
263.0,3.20
262.0,2.83
261.0,3.03
260.0,1.83
259.0,3.11
258.0,2.67
257.0,3.04
256.0,2.97
255.0,3.89
254.0,2.72
253.0,2.44
252.0,3.14
251.0,3.48
250.0,4.00
249.0,2.75
248.0,3.89
247.0,3.00
246.0,3.71
245.0,3.93
244.0,3.95
243.0,3.45
242.0,3.77
241.0,4.27
240.0,4.29
239.0,3.44
238.0,3.64
237.0,4.31
236.0,4.37
235.0,4.38
234.0,5.00
233.0,4.25
232.0,4.72
231.0,3.95
230.0,5.10
229.0,4.42
228.0,4.76
227.0,5.81
226.0,5.47
225.0,4.22
224.0,5.52
223.0,5.08
222.0,5.60
221.0,5.50
220.0,5.68
219.0,4.83
218.0,7.77
217.0,6.16
216.0,5.56
215.0,8.59
214.0,7.69
213.0,7.28
212.0,9.35
211.0,11.04
210.0,7.53
209.0,8.64
208.0,11.14
207.0,6.34
206.0,11.94
205.0,13.50
204.0,11.46
203.0,15.18
202.0,16.74
201.0,11.98
200.0,14.65
