Created as New Dataset,
nm,%T
302.0,6.96
301.0,6.73
300.0,7.09
299.0,6.63
298.0,6.78
297.0,6.21
296.0,7.36
295.0,7.71
294.0,7.95
293.0,8.31
292.0,8.12
291.0,7.42
290.0,7.01
289.0,8.65
288.0,8.55
287.0,8.32
286.0,9.62
285.0,9.22
284.0,9.06
283.0,9.66
282.0,9.90
281.0,8.71
280.0,9.37
279.0,10.96
278.0,10.65
277.0,10.17
276.0,10.80
275.0,10.09
274.0,9.99
273.0,9.95
272.0,11.25
271.0,10.75
270.0,9.29
269.0,10.94
268.0,10.77
267.0,8.92
266.0,9.05
265.0,9.68
264.0,9.21
263.0,8.64
262.0,9.17
261.0,8.96
260.0,8.95
259.0,9.16
258.0,9.89
257.0,10.25
256.0,9.67
255.0,10.01
254.0,9.84
253.0,10.32
252.0,10.96
251.0,10.14
250.0,11.24
249.0,11.04
248.0,11.34
247.0,11.36
246.0,10.98
245.0,11.08
244.0,11.01
243.0,11.63
242.0,11.46
241.0,12.02
240.0,12.02
239.0,12.47
238.0,12.42
237.0,13.11
236.0,13.31
235.0,12.31
234.0,13.28
233.0,13.73
232.0,14.15
231.0,13.75
230.0,14.81
229.0,14.37
228.0,14.73
227.0,15.08
226.0,16.89
225.0,15.98
224.0,15.76
223.0,15.56
222.0,16.70
221.0,17.28
220.0,17.52
219.0,19.69
218.0,18.01
217.0,19.73
216.0,19.52
215.0,21.01
214.0,23.24
213.0,23.74
212.0,20.93
211.0,26.31
210.0,26.02
209.0,25.93
208.0,24.56
207.0,28.65
206.0,30.15
205.0,30.87
204.0,35.42
203.0,36.19
202.0,37.24
201.0,44.70
200.0,39.39
